구반포방면,흑석방면,구반포방면,흑석방면,,,
평일,평일,주말,주말,,,
05:30첫,05:30첫,05:30첫,05:30첫,,,
동작중앙보훈병원,동작개화,동작중앙보훈병원,동작개화,,,
05:42급첫,5:40,05:42급첫,5:40,,,
당산중앙보훈병원,신논현개화,당산중앙보훈병원,신논현개화,,,
5:43,5:53,5:43,5:53,,,
여의도중앙보훈병원,삼전개화,여의도중앙보훈병원,삼전개화,,,
05:56급,-,05:54급,-,,,
김포공항중앙보훈병원,-,김포공항중앙보훈병원,-,,,
5:57,-,5:55,-,,,
염창중앙보훈병원,-,염창중앙보훈병원,-,,,
06:08급,6:08,06:06급,6:11,,,
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원개화,,,
6:09,06:19급첫,6:07,06:23급첫,,,
마곡나루중앙보훈병원,중앙보훈병원김포공항,마곡나루중앙보훈병원,중앙보훈병원김포공항,,,
06:18급,6:23,06:17급,6:24,,,
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원개화,,,
6:19,06:33급,6:18,06:36급,,,
개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원김포공항,,,
06:30급,6:36,06:29급,6:37,,,
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원개화,,,
6:31,06:46급,6:30,06:49급,,,
개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원김포공항,,,
06:42급,6:49,06:41급,6:50,,,
김포공항중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원개화,,,
6:43,06:59급,6:42,-,,,
개화중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,-,,,
06:54급,-,06:53급,-,,,
김포공항중앙보훈병원,-,김포공항중앙보훈병원,-,,,
6:55,-,6:54,-,,,
개화중앙보훈병원,-,개화중앙보훈병원,-,,,
7:02,7:02,07:05급,07:01급,,,
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
07:07급,07:12급,7:06,7:02,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,,
7:11,7:15,07:17급,07:13급,,,
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
07:15급,07:25급,7:18,7:14,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,,
7:19,7:28,07:29급,07:25급,,,
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
07:22급,07:36급,7:30,7:26,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,,
7:26,7:37,07:41급,07:37급,,,
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
07:29급,07:48급,7:42,7:38,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,,
7:32,7:49,07:53급,07:49급,,,
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
07:36급,-,7:54,7:50,,,
김포공항중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화,,,
7:39,-,08:05급,08:01급,,,
개화중앙보훈병원,-,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
07:43급,-,8:06,8:02,,,
김포공항중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화,,,
7:46,-,08:17급,08:13급,,,
개화중앙보훈병원,-,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
07:49급,-,8:18,8:14,,,
김포공항중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화,,,
7:53,-,08:29급,08:25급,,,
개화중앙보훈병원,-,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
07:56급,-,8:30,8:26,,,
김포공항중앙보훈병원,-,개화중앙보훈병원,중앙보훈병원개화,,,
8:00,08:00급,08:41급,08:37급,,,
개화중앙보훈병원,중앙보훈병원김포공항,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
08:03급,8:01,8:42,8:38,,,
김포공항중앙보훈병원,중앙보훈병원개화,개화중앙보훈병원,중앙보훈병원개화,,,
8:07,8:07,08:53급,08:49급,,,
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
08:10급,08:11급,8:54,8:50,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,,
8:13,8:15,09:05급,09:01급,,,
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
08:17급,08:20급,9:06,9:02,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,,
8:20,8:24,09:17급,09:13급,,,
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
08:24급,08:29급,9:18,9:14,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,,
8:27,8:33,09:29급,09:25급,,,
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
08:30급,08:37급,9:30,9:26,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,,
8:34,8:41,09:41급,09:37급,,,
개화중앙보훈병원,중앙보훈병원개화,김포공항중앙보훈병원,중앙보훈병원김포공항,,,
08:37급,08:45급,9:42,9:38,,,
김포공항중앙보훈병원,중앙보훈병원김포공항,개화중앙보훈병원,중앙보훈병원개화,,,
