"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20230501","8호선","산성","4066","4316","20230504",""
"20230501","7호선","신대방삼거리","11093","10879","20230504",""
"20230501","6호선","태릉입구","4641","5122","20230504",""
"20230501","6호선","석계","9777","10288","20230504",""
"20230501","6호선","돌곶이","7213","6895","20230504",""
"20230501","6호선","상월곡(한국과학기술연구원)","5184","5179","20230504",""
"20230501","6호선","월곡(동덕여대)","10397","9988","20230504",""
"20230501","6호선","고려대(종암)","7807","7656","20230504",""
"20230501","6호선","안암(고대병원앞)","13295","13875","20230504",""
"20230501","6호선","보문","5990","5798","20230504",""
"20230501","6호선","창신","2991","2774","20230504",""
"20230501","6호선","동묘앞","8612","8489","20230504",""
"20230501","6호선","신당","7939","8227","20230504",""
"20230501","6호선","청구","3040","3087","20230504",""
"20230501","6호선","약수","2906","3056","20230504",""
"20230501","6호선","버티고개","1634","1779","20230504",""
"20230501","6호선","한강진","6329","7577","20230504",""
"20230501","6호선","이태원","10766","10590","20230504",""
"20230501","6호선","녹사평(용산구청)","4924","4846","20230504",""
"20230501","6호선","삼각지","7616","5603","20230504",""
"20230501","6호선","효창공원앞","5895","5977","20230504",""
"20230501","6호선","공덕","11944","11152","20230504",""
"20230501","6호선","대흥(서강대앞)","6996","7367","20230504",""
"20230501","6호선","광흥창(서강)","6017","5858","20230504",""
"20230501","6호선","상수","9309","9973","20230504",""
"20230501","6호선","합정","11693","10776","20230504",""
"20230501","6호선","망원","13273","14387","20230504",""
"20230501","6호선","마포구청","10463","9548","20230504",""
"20230501","6호선","월드컵경기장(성산)","5662","5871","20230504",""
"20230501","6호선","디지털미디어시티","8541","8928","20230504",""
"20230501","6호선","증산(명지대앞)","8009","8140","20230504",""
"20230501","6호선","새절(신사)","9947","9704","20230504",""
"20230501","6호선","구산","6298","4910","20230504",""
"20230501","6호선","연신내","1","0","20230504",""
"20230501","6호선","독바위","2016","2356","20230504",""
"20230501","6호선","불광","3901","3616","20230504",""
"20230501","6호선","역촌","2862","3408","20230504",""
"20230501","6호선","응암","13770","13925","20230504",""
"20230501","5호선","하남검단산","6139","5981","20230504",""
"20230501","5호선","하남시청(덕풍·신장)","6591","6249","20230504",""
"20230501","5호선","하남풍산","3230","3149","20230504",""
"20230501","5호선","미사","13097","13495","20230504",""
"20230501","5호선","강일","4049","3640","20230504",""
"20230501","5호선","마천","5559","5621","20230504",""
"20230501","5호선","거여","7382","7156","20230504",""
"20230501","5호선","개롱","5023","5161","20230504",""
"20230501","5호선","오금","2423","2330","20230504",""
"20230501","5호선","방이","5540","5507","20230504",""
"20230501","5호선","올림픽공원(한국체대)","4481","4081","20230504",""
"20230501","5호선","둔촌동","6452","6460","20230504",""
"20230501","5호선","상일동","10698","10112","20230504",""
"20230501","5호선","고덕","7685","7715","20230504",""
"20230501","5호선","명일","6923","7026","20230504",""
"20230501","5호선","굽은다리(강동구민회관앞)","7448","7074","20230504",""
"20230501","5호선","길동","6655","6799","20230504",""
"20230501","5호선","강동","12125","12045","20230504",""
"20230501","5호선","천호(풍납토성)","16407","16196","20230504",""
"20230501","5호선","광나루(장신대)","11308","10991","20230504",""
"20230501","5호선","아차산(어린이대공원후문)","14332","14153","20230504",""
"20230501","5호선","군자(능동)","8967","9902","20230504",""
"20230501","5호선","장한평","12968","13121","20230504",""
"20230501","5호선","답십리","11094","10432","20230504",""
"20230501","5호선","마장","4267","4004","20230504",""
"20230501","5호선","왕십리(성동구청)","3593","4165","20230504",""
"20230501","5호선","행당","5875","5265","20230504",""
"20230501","5호선","신금호","4711","5185","20230504",""
"20230501","5호선","청구","3059","2786","20230504",""
"20230501","5호선","동대문역사문화공원(DDP)","1574","1865","20230504",""
