2024-01-07,광화문,빛초롱축제
2024-01-31,잠실,불꽃놀이축제
2024-02-05,동대문,서울패션위크
2024-03-09,잠실,아이유콘서트
2024-03-20,건대입구,벚꽃축제
2024-03-31,석촌,벚꽃축제
2024-04-06,양재,벚꽃축제
2024-05-04,청량리,어린이날축제
2024-05-05,어린이대공원,어린이날
2024-05-11,송파나루,뷰티풀민트페스티벌
2024-05-31,송파나루,서울재즈페스티벌
2024-06-15,잠실,싸이흠뻑쇼
2024-07-05,종합운동장,워터밤
2024-07-07,사가정,칠석축제
2024-08-25,여의도,더현대서울행사
2024-10-10,군자,한강빛섬축제
2024-10-19,송파나루,그랜드민트페스티벌
2024-10-26,혜화,웰컴대학로축제
2024-10-26,잠실,롯데월드할로윈축제
2024-11-02,안국,창경궁후원개장
2024-12-16,합정,서울코믹월드페스티벌
2024-12-25,명동,크리스마스축제
2024-12-25,홍대입구,크리스마스축제
2024-12-31,군자,카운트다운판타지페스티벌
2024-12-31,강남,새해카운트다운
