asdf1234,2-강남-잠실-2024-01-21-08-30,8-잠실-송파-2023-02-01-12-01,6-합정-이태원-2023-10-23-14-29,
efg78wx,2-동대문역사문화공원-사당-2022-10-10-10-10,8-천호-몽촌토성-2022-01-30-19-21,9-언주-송파나루-2023-08-08-16-28,
hij90bc,2-역삼-을지로입구-2023-09-23-22-45,,,
klm12de,3-가락시장-종로3가-2023-12-25-16-00,9-언주-송파나루-2023-08-08-16-28,,
nop34fg,3-압구정-매봉-2022-02-22-22-22,4-신용산-총신대입구-2023-06-25-07-54,8-천호-장지-2023-04-30-11-42,
qrs56hi,3-학여울-수서-2023-03-01-23-48,8-잠실-송파-2023-02-01-12-01,,
89tuvw01,4-남태령-혜화-2023-05-24-22-12,5-여의도-왕십리-2022-09-11-11-11,5-광나루-여의나루-2023-01-21-08-43,
23xyza45,4-동대문-신용산-2022-09-23-22-00,,,
67bcde89,4-신용산-총신대입구-2023-06-25-07-54,,,
01fghi23,5-광나루-여의나루-2023-01-21-08-43,7-신대방삼거리-논현-2022-04-06-10-51,6-태릉입구-고려대-2024-02-01-13-37,8-천호-장지-2023-04-30-11-42
45jklm67,5-청구-마장-2023-09-23-18-00,,,
89nopq01,4-신용산-총신대입구-2023-06-25-07-54,8-몽촌토성-천호-2022-01-30-19-21,7-총신대입구-숭실대입구-2023-04-30-11-39,6-태릉입구-고려대-2024-02-01-13-37
23rstu45,5-여의나루-해당-2022-07-23-18-02,3-학여울-수서-2023-03-01-23-48,,
67vwxy89,6-태릉입구-고려대-2024-02-01-13-37,5-광나루-여의나루-2023-01-21-08-43,,
vwxy0123,6-합정-이태원-2023-10-23-14-29,6-태릉입구-고려대-2024-02-01-13-37,,
zabc4567,6-청구-월곡-2023-09-23-12-43,,,
defg8901,7-총신대입구-숭실대입구-2023-04-30-11-39,9-언주-송파나루-2023-08-08-16-28,,
hijk2345,7-신대방삼거리-논현-2022-04-06-10-51,,,
lmno6789,8-잠실-송파-2023-02-01-12-01,,,
pqrs0123,8-천호-장지-2023-04-30-11-42,,,
tuvw4567,8-몽촌토성-천호-2022-01-30-19-21,3-학여울-수서-2023-03-01-23-48,,
xyza8901,9-언주-송파나루-2023-08-08-16-28,8-천호-장지-2023-04-30-11-42,4-동대문-신용산-2022-09-23-22-00,3-가락시장-종로3가-2023-12-25-16-00
def12no,9-고속터미널-숭실대입구-2024-01-29-19-34,2-강남-잠실-2024-01-21-08-30,3-가락시장-종로3가-2023-12-25-16-00,
